Truly Guiding People Up to High Levels,Chân chính đưa con người lên cao tầng
"Beyond the Five Elements, and Leaving the Three Realms","Không trong ngũ hành, ra ngoài tam giới"
"What does ""beyond the Five Elements, and leaving the Three Realms"" mean? This is a delicate subject to bring up. A lot of qigong masters have talked about this, but they got tongue-tied by people who didn’t believe in qigong—""So which one of you qigong people has gone beyond the Five Elements? Which of you people is out of the Three Realms now?"" Some people aren’t qigong masters, and they’ve just given themselves the title of qigong master. If they can’t explain it they should just be quiet, but they dare to talk about it anyway, and so other people shut them up with their remarks. This has done a lot of harm to the cultivation world and made a big mess. And people have used this to attack qigong. ""Beyond the Five Elements, and leaving the Three Realms"" is a saying in the cultivation world, and it comes from religions. It’s a product of religions. So we can’t talk about this without keeping in mind its historical context and the environment back when it was coined.","“Không trong ngũ hành, ra ngoài tam giới” là gì? Vấn đề này nói ra rất hóc búa. Trước đây khi nói đến vấn đề này, có nhiều khí công sư đã bị làm cho nghẹn [không biết ăn nói ra sao] bởi những người không tin khí công. “Trong các vị luyện công đây hỏi ai đã ra ngoài ngũ hành, trong các vị có ai không còn trong tam giới?” Có một số không phải là khí công sư; ‘khí công sư’ của họ là tự phong. Đã nói không rõ thì đừng nói, họ lại dám nói, rồi bị người ta làm cứng họng. Gây tổn thất lớn cho giới tu luyện, tạo nên hỗn loạn lớn; có người mượn cớ này để công kích khí công. ‘Không trong ngũ hành, ra ngoài tam giới’, là một câu của giới tu luyện, nguyên từ trong tôn giáo, là [câu nói] sinh ra trong tôn giáo. Do đó chúng ta không thể tách khỏi bối cảnh lịch sử ấy, không thể tách khỏi hoàn cảnh đương thời [lúc bấy giờ] mà giảng vấn đề này."
"What’s ""beyond the Five Elements"" about? Our ancient Chinese physics and our modern physics both acknowledge that the Chinese theory of Five Elements is correct. Metal, wood, water, fire, and earth—these Five Elements form the myriad things in our universe. This is fact, and that’s why we talk about these Five Elements. When someone says that a person has gone beyond the Five Elements, in today’s language, it means going beyond this material world of ours. Sounds hard to believe. But let’s think about something. Qigong masters have gong. I’ve been tested, and lots and lots of other qigong masters have been tested this way, too—tested for energy. A lot of the instruments that we have today can detect the material elements in gong, so in other words, if there’s the right instrument, the elements emitted by qigong masters can be detected. Nowadays the instruments can detect things like infrared rays, ultraviolet rays, ultrasonic waves, infrasonic sounds, electricity, magnetism, gamma rays, atoms, and neutrons. Qigong masters all have these forms of matter, and some other matter emitted by qigong masters can’t be detected, since there’s no such instrument. But as long as you have the right instrument these can be detected, and they’ve discovered that the matter emitted by qigong masters is extremely rich.","‘Không trong ngũ hành’ là gì? Vật lý học cổ đại của Trung Quốc chúng ta, [và] vật lý học hiện đại đều nhìn nhận rằng học thuyết ngũ hành của Trung Quốc là đúng. Kim mộc thuỷ hoả thổ, ngũ hành ấy cấu thành nên mọi sự vật trong vũ trụ; điều ấy là đúng, do vậy chúng ta [mới] giảng về ngũ hành. Nói rằng một người ra ngoài ngũ hành, [nếu] dùng cách nói hiện đại mà giảng, chính là đã ra ngoài thế giới vật chất này của chúng ta; nghe mà thấy thật huyền [hoặc]. Mọi người hãy nghĩ về vấn đề này, các khí công sư có tồn tại công. Tôi đã [làm] qua thí nghiệm, rất nhiều khí công sư cũng đều đã [làm] qua trắc nghiệm như thế, [để] kiểm định năng lượng của họ. Bởi vì các thành phần vật chất trong công này [thì] rất nhiều các thiết bị mà chúng ta đang có hiện nay đều có thể kiểm định ra được, cũng [có nghĩa] là [với] thành phần mà khí công sư phát ra chỉ cần có một loại thiết bị [đó] tồn tại thì có thể kiểm định được sự tồn tại của công. Hiện nay các thiết bị có thể đo thấy hồng ngoại, tử ngoại, siêu âm, hạ âm, điện, từ, tia phóng xạ gamma, nguyên tử, neutron. Các khí công sư đều có những vật chất ấy; còn có những vật chất mà khí công sư phát ra vẫn chưa đo thấy được, [vì] chưa có thiết bị. Miễn là có thiết bị [thì] tất cả chúng đều có thể được đo thấy; [người ta] phát hiện rằng vật chất các khí công sư phát ra cực kỳ phong phú."
"Under the effect of a special electromagnetic field qigong masters can have strong luminescence, and it’s really beautiful. The higher a person’s potency, the larger the energy field he projects. Ordinary people have one too, but it’s a really weak kind of luminescence. People who do research in high-energy physics think of energy as being things like neutrons and atoms. A lot of qigong masters have been tested. And all the qigong masters who are pretty well-known have been tested, in fact. I’ve been tested, too, and they found that I emit gamma rays and thermal neutrons 80–170 times greater than the radiation of normal matter. At that point the needle of the testing instrument had hit the limit, and since the needle had hit the maximum point they couldn’t tell exactly how strong it was. Imagine, neutrons that strong—it’s just incredible! How could a person emit neutrons that strong? This proves that we qigong masters do have gong, it proves we do have energy. It’s been verified by the scientific and technological community.","Dưới tác dụng của một trường điện từ nhất định, khí công sư có thể phát ánh quang huy rất mạnh mẽ, đẹp vô cùng. Công lực càng cao thì trường năng lượng phát ra càng lớn. Còn người thường cũng có, nhưng rất nhỏ; một loại ánh quang huy rất nhỏ. Trong nghiên cứu của môn vật lý cao năng lượng, người ta nhìn nhận rằng năng lượng chính là những thứ như neutron, nguyên tử. Nhiều khí công sư đã [làm] qua trắc [nghiệm], những khí công sư nổi tiếng cũng đều tham gia. Tôi cũng được đo, đo thấy tia phóng xạ gamma và neutron nhiệt phát ra nhiều hơn vật chất thông thường [phát ra] từ 80 đến 170 lần. Lúc ấy kim của thiết bị thí nghiệm trỏ đến hết mức rồi; vì kim đã trỏ đến tận cùng, [nên] rốt cuộc cũng không biết được [nó] lớn ngần nào. Neutron mạnh mẽ đến nhường ấy, thật quả là khó mà tin nổi! Người ta sao lại phát ra được neutron mạnh mẽ đến thế? Điều đó chứng minh rằng những khí công sư chúng tôi có tồn tại công, có tồn tại năng lượng; điểm này trong giới khoa học kỹ thuật đã chứng thực được."
"Going beyond the Five Elements only happens in a practice that cultivates both your nature and longevity. It’s not part of practices that don’t cultivate both nature and longevity. They only grow the gong that determines levels, and they don’t cultivate longevity, so they don’t talk about going beyond the Five Elements. In practices that cultivate both nature and longevity, a person’s energy is stored in all the cells in his body. The energy that an ordinary qigong practitioner gives off, or that somebody who’s just started to build up gong gives off, that gong has large particles with gaps between them and low density, and so it has little power. When a person’s level rises, it’s possible that the density of his energy will be 100 times, 1,000 times, or 100 million times higher than ordinary water molecules. That’s because the higher the level, the higher the density, the finer the grains, and the greater the power. When that happens, the energy is stored in every single cell of the body, and it’s not just in every cell of the body in this material dimension of ours, but in all the bodies in other dimensions—the molecules, atoms, protons, and electrons, and all the way down to the extremely microcosmic cells, they’re all filled with that energy. So over time the person’s body is completely filled with that high-energy matter.","Ra ngoài ngũ hành, còn phải là công pháp tính mệnh song tu; công pháp không phải là tính mệnh song tu thì chỉ tăng [cái] công [xác định] tầng cao thấp. [Với] công pháp không tu mệnh, thì không hề có vấn đề này, nó không giảng [vấn đề] ra khỏi ngũ hành. [Còn với] công pháp tính mệnh song tu, thì năng lượng của nó được tồn trữ trong tất cả các tế bào của thân thể. Người luyện công thông thường của chúng ta, người mới tăng công, [thì] viên lạp [hạt] năng lượng phát ra rất thô, có khoảng cách, mật độ không cao, do đó uy lực rất thấp. Khi lên đến tầng rất cao, mật độ năng lượng ấy so với phân tử nước thông thường có thể gấp 100, 1000, [hoặc] 100 triệu lần; tất cả đều có thể. Vì tầng càng cao, mật độ của nó càng lớn và càng tinh tế, uy lực càng lớn. Trong tình huống ấy, ở trong mỗi một tế bào của thân thể đã được tồn trữ năng lượng ấy—không chỉ trong từng tế bào của thân thể trong không gian vật chất này của chúng ta, mà trong tất cả thân thể tại các không gian khác, phân tử, nguyên tử, proton, điện tử, cho đến các tế bào ở mức hết sức vi quan—tất cả đều được chủng năng lượng ấy lấp đầy. Dần dần qua thời gian rất lâu, thân thể người đã hoàn toàn sung mãn bằng chủng vật chất cao năng lượng ấy."
"That high-energy matter is an intelligent entity, and it has power. When there’s more of it, when its density gets high, and after it fills all the cells in a person’s body, it’s able to suppress his flesh cells, those least capable cells. And once they’re restrained there isn’t any metabolism, and at some point it will completely replace the human flesh cells. Of course, this is easy to say, but cultivating to that point is a slow process. When you’ve cultivated to that point all the cells in your body will have been replaced by the high-energy matter, so think about it, is your body still made up of the Five Elements? Is it still matter that belongs to this dimension? It’s made of high-energy matter collected from other dimensions. The components of virtue are also matter that exist in other dimensions, and it’s not restricted by the time-field of this dimension we’re in.","Vật chất cao năng lượng này có linh tính, nó [rất] có bản sự. Một khi nó nhiều lên, mật độ lớn lên, sau khi sung mãn tất cả các tế bào của thân thể người, [thì] nó có thể ức chế các tế bào của xác thịt con người, [vốn là] các tế bào vô dụng nhất. Khi ức chế vững chắc rồi, thì sẽ không xuất hiện sự tân trần đại tạ; rốt cuộc [nó] hoàn toàn thay thế các tế bào xác thịt của người. Tất nhiên, tôi giảng ra thì dễ, [nhưng] tu đến mức ấy là một quá trình rất chậm. Khi chư vị tu đến mức này, tất cả tế bào của thân thể chư vị đều được vật chất cao năng lượng này thay thế; chư vị thử nghĩ xem, thân thể chư vị có còn cấu thành từ ngũ hành không? Có còn là vật chất của không gian này của chúng ta không? Nó đã cấu thành từ vật chất cao năng lượng gom chọn từ các không gian khác. Thành phần của [chất] đức kia cũng là vật chất tồn tại trong không gian khác; nó cũng không chịu sự ước chế của trường thời gian của không gian này của chúng ta."
"Today, science believes that time has fields, and that when something isn’t within the expanse of a time-field it’s not restricted by that time. The concept of space-time in other dimensions is different from the one here, so how could it restrict matter from other dimensions? It doesn’t have any effect on it. Then think about it, at that time aren’t you outside the Five Elements? Is your body still an ordinary human one? Not at all. But there’s one thing to note, and that’s that ordinary people can’t actually tell the difference. Even though your body has changed that much, it’s still not the end of your cultivation. You still need to keep breaking through more levels and cultivating up. So you still have to cultivate around ordinary people, and it wouldn’t work if people couldn’t see you.","Khoa học hiện đại nhìn nhận rằng thời gian là có tồn tại trường; không nằm trong phạm vi của trường thời gian thì không chịu ước chế của thời gian. Khái niệm thời-không của không gian khác là khác hẳn so với bên này chúng ta; nó làm sao có thể ước chế vật chất của không gian khác được? Hoàn toàn không có tác dụng. Mọi người thử nghĩ xem, đến lúc ấy chư vị chẳng phải đã không trong ngũ hành là gì? Chư vị có còn cái thân thể người thường không? Hoàn toàn không. Nhưng có một điểm: người thường nhìn không ra2. Tuy rằng thân thể của họ đã cải biến đến trình độ ấy, nhưng sự tu luyện chưa kết thúc, [nên] họ cần tiếp tục đột phá tầng tu lên cao; do đó họ còn cần phải tu luyện nơi người thường; người thường mà nhìn không thấy họ3 thì không được."
"So, what happens next? During your cultivation, although all of your molecular cells are replaced by high-energy matter, the atoms have to have a certain configuration, and the configuration of the molecules and nuclei doesn’t change either. The configuration of the cells’ molecules is one way, and so they’re soft to the touch; the configuration of bones’ molecules has a high density, and so they’re hard to the touch; the density of blood’s molecules is very low, and so it’s liquid. Ordinary people can’t tell from your surface that there were any changes. The molecular cells still keep their former structure and configuration. So their structure hasn’t changed, but the energy inside has. And that’s why you won’t go through the natural aging process from that point on, and your cells won’t die, so you’ll be young forever. You will look young during your cultivation, and eventually you’ll hit a point where you don’t age any further.","Vậy sau đó thì sao? Họ ở trong quá trình tu luyện, tất cả các tế bào [làm bằng] phân tử của họ tuy rằng được vật chất cao năng lượng thay thế, nhưng nguyên tử có trình tự sắp xếp của nó, trình tự sắp xếp của các phân tử, hạt nhân nguyên tử không hề thay đổi. Trình tự sắp xếp các phân tử của tế bào [vẫn] là trạng thái như thế, [mà] sờ vào thì thấy mềm; mật độ trình tự sắp xếp các phân tử của xương cần lớn, sờ vào thì thấy cứng; mật độ các phân tử máu thì rất là nhỏ, nó là thể lỏng. Người thường từ bề mặt mà nhìn thì không thể thấy được sự biến đổi của chư vị; tế bào [làm bằng] phân tử của nó vẫn duy trì kết cấu và trình tự bài trí như dạng ban đầu; kết cấu của nó vẫn không phát sinh biến đổi; nhưng năng lượng bên trong nó đã thay đổi rồi; do đó cá nhân này từ nay trở đi không già cỗi đi một cách tự nhiên, những tế bào của người ấy [cũng] không tiêu vong; vậy người này trẻ trung thanh xuân mãi. Trong quá trình tu luyện, người ta sẽ trông ít tuổi; cuối cùng [bề ngoài của người ấy] định lại ở nơi ấy."
"Of course, if a body like that gets hit by a car the bones might still break, and if it’s cut by a knife it might still bleed. This is because its molecules’ configuration hasn’t changed. It’s just that they won’t naturally die, they won’t naturally age, and there won’t be any metabolism. This is what we mean by ""going beyond the Five Elements."" What’s it got to do with blind belief? It can be explained with scientific theory. But some people go and talk about it freely even though they can’t explain it, and then other people say we’re blindly believing. It’s a phrase that comes from religions, and it wasn’t coined by today’s qigong.","Tất nhiên, cái thân thể ấy mà đụng phải xe hơi thì có lẽ xương cũng gãy, một khi bị dao cắt thì vẫn chảy máu thôi. Bởi vì trình tự sắp xếp phân tử của nó không đổi, chỉ là nó sẽ không tự nhiên tiêu vong, sẽ không tự nhiên lão hoá; không có việc tân trần đại tạ; đó chính là điều chúng tôi gọi là ‘ra ngoài ngũ hành’. Chỗ này có gì là mê tín? Dùng lý luận khoa học hoàn toàn có thể giải thích được rõ. Có một số người [giải] nói không được rõ lại cứ tuỳ tiện nói; người ta bèn bảo rằng ‘ông làm mê tín’. Bởi vì câu này nguyên từ tôn giáo, không phải là danh từ xuất hiện từ khí công hiện đại của chúng ta."
"What is ""leaving the Three Realms""? Like I said the other day, the key to increasing your gong is this: you cultivate your character and assimilate to the nature of the universe, then the nature of the universe doesn’t restrict you anymore, your character improves, and the elements of virtue evolve into gong, which grows constantly, rises, and then when it rises to a high level it forms a gong pillar. However high that gong pillar is, that’s the height of your gong. There’s a saying, ""the Great Law is boundless""—how your cultivation goes all depends on your mind. The height you can cultivate to depends entirely on your ability to endure and your ability to bear hardships. When your white matter is used up you can transform your black matter into white matter by bearing hardships. And when that’s still not enough, you can increase your gong by bearing sins for your family members or your good friends who don’t cultivate. This applies to people who’ve cultivated to an extremely high level. When an ordinary person cultivates he shouldn’t think about bearing sins for his family members, since with that much karma the average person’s cultivation would fail. What I’m talking about here are truths of different levels.","‘Ra khỏi tam giới’ là gì? Hôm rồi tôi đã giảng rằng, điểm chốt của tăng công là việc chúng ta tu luyện tâm tính, đồng hoá với đặc tính của vũ trụ; [khi] đặc tính vũ trụ đối với chư vị không còn ước chế nữa, tâm tính chư vị đã thăng hoa lên trên, [thì] thành phần đức kia sẽ diễn hoá trở thành công. Không ngừng tăng lên trên, thăng lên trên; sau khi thăng hoa lên cao tầng, thì hình thành một cột công trụ. Công trụ này cao bao nhiêu, thì công của chư vị cao bấy nhiêu. Có một câu thế này: ‘Đại Pháp vô biên’; tất cả là tuỳ vào cái tâm của chư vị mà tu; xét chư vị tu cao được đến đâu, tất cả là dựa theo lực nhẫn nại và năng lực chịu khổ của chư vị. [Nếu] vật chất màu trắng của bản thân chư vị dùng hết, [thì] vật chất màu đen của bản thân chư vị có thể qua chịu khổ mà chuyển hoá thành vật chất màu trắng. [Nếu] vẫn chưa đủ, [thì chất đen] của những người thân và bè bạn, họ không tu luyện, chư vị thay họ mà gánh chịu tội [nghiệp], và chư vị cũng có thể tăng công; đây là nói về người đã tu luyện đến tầng cực cao. [Là] một người thường tu luyện chư vị chớ mong tưởng gánh chịu tội [nghiệp] cho thân nhân; một người bình thường có nghiệp lực to lớn nhường ấy thì tu không thành. Điều tôi giảng ở đây là [Pháp] lý tại các tầng khác nhau."
"The Three Realms talked about in some religions refers to the nine levels of Heaven, or the 33 levels of Heaven, in other words, Heaven, Earth, and the Underworld make up all the beings in the Three Realms. They say that all living things within the 33 levels of Heaven have to go through Transmigration. What Transmigration means, is that while somebody is a human being in this life, maybe he’ll be an animal in the next life. In Buddhism it’s said that a person should seize the years he has in this life, and that if he doesn’t cultivate now, when will he? They say that because animals aren’t allowed to cultivate, and they aren’t allowed to listen to the Law, and even if they do cultivate they can’t achieve a True Fruition. If their gong reaches a high level they’ll be slain by Heaven. You aren’t able to get a human body in hundreds of years. It’s taken over 1,000 years for you to get it, and you don’t even know to cherish it. If you reincarnate into a rock you won’t be able to get out of it for 10,000 years, and if that rock isn’t crushed, or if it doesn’t weather away, you’ll never be able to get out. Getting a human body is so hard! If a person can really obtain the Great Law he’s just so fortunate. A human body is hard to get—that’s how they see it.","‘Tam giới’ mà tôn giáo nói, là nói đến 9 tầng trời hoặc là 33 tầng trời; cũng lại nói trên trời, trên đất, và dưới đất, [chúng] cấu thành các chúng sinh trong tam giới. Họ giảng rằng hết thảy sinh vật trong 33 tầng trời đều phải qua lục đạo luân hồi. Lục đạo luân hồi có nghĩa là đời này là người, đời sau có thể là động vật. Trong Phật giáo giảng: ‘Phải tận dụng những năm [tháng] có ở đời này, bây giờ chẳng tu thì đến khi nào mới tu?’ Bởi vì động vật không được phép tu luyện, không được phép nghe Pháp, có tu cũng không đắc chính quả, công mà [tăng lên] cao thì phải bị trời diệt. Chư vị hàng trăm năm mà chẳng được thân người; [có khi] hơn nghìn năm mới được thân người; được thân người rồi cũng chẳng biết quý tiếc. Nếu chư vị thác sinh thành một tảng đá thì vạn năm không ra được; tảng đá ấy nếu chẳng tan nát, chẳng phong hoá, thì chư vị vĩnh viễn chẳng ra được; được thân người nào có dễ chi! Nếu mà thật sự được Đại Pháp, cá nhân ấy quả là quá may mắn. ‘Nhân thân nan đắc’; đó chính là đạo lý."
"In our practice we talk about levels. Your level is entirely up to you to cultivate. If you want to transcend the Three Realms, well, if your gong pillar is cultivated very, very high, won’t you have broken through the Three Realms? When some people are meditating their master souls leave their bodies, and in no time they get to a very high place. When a student wrote to me sharing his experiences, he said, ""Teacher, I’ve reached this many levels of Heaven and I’ve seen such-and-such scenes."" I told him, ""Go up further."" He replied, ""I can’t go up further. I don’t dare to go up, I can’t go up anymore."" Why was that? Because that’s just how high his gong pillar was, and because he got up there by riding on his gong pillar. That’s the ""Fruition"" talked about in Buddhism. He’d cultivated to that Fruition. But for a cultivator, that’s not the pinnacle of his Fruition, because he’s constantly moving up, constantly rising, and constantly improving. When your gong pillar has broken through the boundary of the Three Realms, won’t you have left the Three Realms? We examined it once, and found that the Three Realms religions talk about are only within the range of our nine major planets. Some people say that there are ten major planets. I’d say that’s really not true. I’ve seen that the gong pillars of some of the past qigong masters had charged beyond the Milky Way. They were pretty high, and they’d long since passed the Three Realms. So this ""leaving the Three Realms"" I just talked about is actually a question of levels.","Chúng ta luyện công giảng về vấn đề tầng; tầng ấy hoàn toàn dựa vào tự thân tu luyện; nếu như chư vị muốn nhảy ra khỏi tam giới, công trụ của chư vị tu được rất cao rất cao rồi, thì chẳng phải chư vị đã đột phá khỏi tam giới là gì? Có người đả toạ một khi nguyên thần ly thể liền lên rất cao. Có học viên viết trong bài trao đổi tâm đắc thể hội: ‘Thưa Sư phụ, con lên đến bao nhiêu bao nhiêu tầng trời rồi, con nhìn thấy những cảnh tượng như thế như thế.’ Tôi nói: ‘Con lại lên cao hơn một chút nào’. Người ấy nói: ‘Con không lên [nổi] được nữa, không dám lên nữa, lên cao nữa không được’. Tại sao? Bởi vì công trụ người ấy cao được ngần ấy, người ấy [đã] ngồi trên công trụ của mình mà lên. Đó chính là ‘quả vị’ giảng trong Phật giáo; [người ấy] đã tu lên đến quả vị như thế. Nhưng đối với người [đang] tu luyện mà nói, vẫn chưa đến đỉnh điểm của quả vị. Người ấy còn không ngừng thăng lên trên, không ngừng thăng hoa, không ngừng đề cao. Nếu công trụ của chư vị đã đột phá qua giới hạn của tam giới, thì chẳng phải chư vị đã ra khỏi tam giới là gì? Chúng tôi đã từng trắc định, phát hiện rằng tam giới mà tôn giáo nói đến, chỉ bất quá là trong phạm vi chín đại hành tinh của chúng ta. Có người giảng mười đại hành tinh, tôi nói hoàn toàn không có điều ấy. [Trong] những khí công sư trong quá khứ, tôi thấy có người có công trụ vọt tận ngoài hệ Ngân Hà; cao nhường ấy, họ từ lâu đã qua khỏi tam giới. Tôi vừa giảng về ‘ra ngoài tam giới’; thật ra [nó] chính là vấn đề về tầng."
Wanting to Get Things,Vấn đề hữu sở cầu
"A lot of people come to our cultivation sites wanting to get things. Some of them want to get abilities, some want to listen to some ideas, some want to resolve their health problems, and some want to come get a Law Wheel—there are all kinds of mindsets. There are also people who say, ""Somebody in my family hasn’t come to any of the classes yet. I’ll pay some tuition, and how about you give him a Law Wheel?"" It’s taken us so many generations, and it’s passed through such a great number of years—you’d be shocked if we told you the number—it was formed ages and ages ago, and you want to spend a few bucks to buy a Law Wheel? Then why is it we can give it to you with no conditions attached? It’s because you want to be a cultivator, and that thought can’t be bought with any amount of money. It’s your Buddha-nature that has come out, and that’s why we do this.","Có nhiều người ôm giữ tâm hữu cầu đến gia nhập trường tu luyện của chúng tôi. Có người ôm giữ [tâm] cầu công năng, có người muốn nghe ngóng lý luận, có người mong [được] trị bệnh, cũng có người muốn đến để có Pháp Luân; tâm thái nào cũng có. Lại có người nói: ‘Nhà tôi còn có người không đến tham gia học tập, tôi [sẽ] đóng học phí, [xin] thầy cấp Pháp Luân cho người ấy’. Chúng tôi đã phải qua biết bao nhiêu thế hệ, trải qua từ niên đại cực kỳ xa xưa, con số ấy mà giảng ra sẽ khiến người ta phải giật mình sửng sốt; điều được hình thành từ hằng xa xưa như thế, chư vị chỉ bỏ ra mấy chục đồng4 để mua Pháp Luân là sao? Tại sao chúng tôi cấp cho mọi người [học viên] một cách vô điều kiện? Chính là vì chư vị muốn làm người tu luyện; cái tâm ấy có dùng bao nhiêu tiền cũng không mua được; [đây] là Phật tính xuất hiện; [chỉ khi đó] chúng tôi mới làm như thế này."
"You’re always wanting to get things. Are you coming here just for that? My Law Bodies in other dimensions know your every thought, since the concepts of the two space-times are different. Looked at in another dimension, the formation of your thoughts is an extremely slow process, and they know your thoughts even before you think. So you should put a stop to all your wrong thoughts. Buddhists talk about karmic relationship—we’re all what we are because of karmic relationship. So, if you obtain it, then maybe you’re supposed to obtain it. That’s why you should cherish it, and shouldn’t want things.","Chư vị ôm giữ tâm hữu cầu, chư vị phải chăng vì những điều ấy mà đến? Trong tư tưởng chư vị nghĩ gì, [thì] tại không gian khác những Pháp thân của tôi đều biết hết. Bởi vì hai khái niệm thời-không không giống nhau, từ không gian khác mà nhìn thì cấu thành tư duy của chư vị là một quá trình hết sức chậm chạp. Từ trước lúc chư vị nghĩ, họ đã có thể biết được rồi; do vậy với những tư tưởng không đúng đắn của mình, chư vị phải vứt bỏ hết. Phật gia có giảng duyên phận; mọi người đều là [nhờ] duyên phận mà đến; đắc được [nó] rồi có thể là vì chư vị [đáng] nên được [nó]; do vậy chư vị phải biết quý tiếc, đừng có ôm giữ tâm hữu cầu nào hết."
"In religious cultivation in the past, Buddhists taught Emptiness—not thinking about anything, and entering the Gate of Emptiness. And Daoists taught Nothingness—having nothing, wanting nothing, and seeking nothing. Cultivators used to talk about, ""Putting the mind on practicing, not putting the mind on getting gong."" So you cultivate in a state of nonaction and just focus on cultivating your character, then you’ll be making breakthroughs in your level, and you’ll definitely have whatever you should. If you can’t let go of something, isn’t that an attachment? Here we’re teaching such high-level Laws right at the outset, so of course the demands on your character are high. And that’s why you can’t come to learn the Law wanting to get something.","Tu luyện tôn giáo trong quá khứ, Phật gia giảng ‘không’, cái gì cũng không mong nghĩ5, nhập ‘không môn’; Đạo gia giảng ‘vô’, cái gì cũng không có, cũng chẳng muốn, cũng chẳng truy cầu. Người luyện công giảng: ‘hữu tâm luyện công, vô tâm đắc công’. Ôm giữ một chủng tu luyện trạng thái ‘vô vi’, chỉ quan tâm tu luyện tâm tính chư vị, thì tầng của chư vị sẽ đột phá, chư vị đáng được gì thì đương nhiên sẽ có. Chư vị vứt bỏ không được, [thì] chẳng đúng là tâm chấp trước là gì? Ở đây chúng tôi tức khắc truyền Pháp cao đến vậy, tất nhiên yêu cầu đối với tâm tính chư vị cũng phải cao; vậy nên không thể ôm giữ tâm hữu cầu mà đến học Pháp được đâu."
"To be responsible to you, we’re taking you down the right path. So this Law needs to be taught to you thoroughly. When some people seek to get the Third Eye, the Third Eye might block itself, and it might seal you off. Also, I can tell you that in Triple-World-Law cultivation, all the abilities a person develops are innate to the mortal body—people nowadays call them supernatural abilities. They can only have an effect within the dimension right here, our dimension, and work on ordinary people. What are you wanting those trivial abilities and trivial skills for? You want and want, but after you reach Beyond-Triple-World-Law they don’t have any effect in other dimensions. When you go beyond Triple-World-Law cultivation, all those abilities have to be thrown away, they’re pressed into a very deep dimension and kept there. They’ll just act as a record of your cultivation path in the future, and that’s about all they do.","Để có trách nhiệm với mọi người, chúng tôi [cần] dẫn mọi người theo con đường [chân] chính, Pháp này [cần] được giảng rõ cho chư vị. Có người khi truy cầu thiên mục, thiên mục ấy tự họ làm nghẽn lại, tự mình phong kín lại. Ngoài ra tôi còn nói với chư vị rằng, trong [giai đoạn] tu luyện thế gian pháp, thì hết thảy các công năng xuất hiện đều là một chủng loại bản năng tiên thiên mà nhục thân mang theo; hiện nay chúng ta gọi là ‘công năng đặc dị’. Chúng chỉ có thể có ở không gian hiện hữu này, phát huy tác dụng trong không gian này của chúng ta, [có thể] ước chế đối với người thường. Những tiểu năng tiểu thuật ấy chư vị truy cầu để làm gì? Truy cầu tới truy cầu lui, sau khi sang [giai đoạn] xuất thế gian pháp, thì chúng không có tác dụng ở các không gian khác. Đến khi tu luyện xuất thế gian pháp, toàn bộ những công năng ấy đều phải quăng đi hết, chúng được ép nhập vào một không gian rất thâm sâu, lưu tồn ở đó; sau này chúng được dùng như một hồ sơ lưu ghi lại một quá trình tu luyện của chư vị, [chúng] chỉ có một tác dụng ấy."
